feature,attribution
World_Gaze_Direction_L_Y,0.0035346695
Ratio_Directional_Magnitude,0.002917564
Ratio_Delta_Gaze_XY,0.0025145486
World_Gaze_Direction_R_Z,0.0024658893
Delta_Gaze_Y,0.0023553153
Gaze_Direction_Z_Ratio,0.002306479
Gaze_Point_Depth_Difference,0.0021273934
World_Gaze_Direction_L_Z,0.0021200918
Ratio_World_Gaze_Direction_Z,0.002022867
Ratio_World_Gaze_Direction_Y,0.0018732375
Normalized_Vergence_Angle,0.0018632037
Angular_Difference_Gaze_Directions,0.0016645155
World_Gaze_Direction_L_X,0.0016544467
Cosine_Angles,0.0015179546
Vergence_Angle,0.0014390884
Ratio_World_Gaze_Direction_X,0.0013797237
Gaze_Point_Euclidean_Distance,0.0013409312
Gaze_Point_Distance,0.0013029107
Vergence_Depth,0.0012690482
Relative_Change_Vergence_Angle,0.0012646228
World_Gaze_Direction_R_X,0.0012590155
Delta_Gaze_Z,0.0011351883
Directional_Magnitude_R,0.0010251913
Directional_Magnitude_L,0.0009942342
Gaze_Direction_X_Ratio,0.0009874946
Acceleration_Gaze_Direction_R_X,0.00094297243
World_Gaze_Direction_R_Y,0.0009395899
Angular_Difference_X,0.00088247587
Gaze_Direction_Y_Ratio,0.000865647
Velocity_Gaze_Direction_R_X,0.00081247557
Delta_Gaze_X,0.0007927112
Gaze_Direction_Angle,0.00075800193
Gaze_Vector_Angle,0.0006061211
Directional_Magnitude_Ratio,0.00045509747
